Augment,Size,Class,f1-score
bt,1000,accuracy,0.7895894428152492
bt,1000,macro avg,0.7379526072057218
bt,1000,weighted avg,0.7868159937636495
bt,100,neither,0.7451219512195122
bt,100,oppose,0.4343163538873995
bt,100,support,0.606993006993007
bt,100,accuracy,0.6664222873900293
bt,100,macro avg,0.5954771040333062
bt,100,weighted avg,0.6587383678087468
bt,2000,neither,0.8753953194180898
bt,2000,oppose,0.7073791348600509
bt,2000,support,0.7957559681697612
bt,2000,accuracy,0.8291788856304986
bt,2000,macro avg,0.7928434741493007
bt,2000,weighted avg,0.8272952339205248
bt,200,neither,0.78998778998779
bt,200,oppose,0.4376731301939058
bt,200,support,0.6748971193415638
bt,200,accuracy,0.7126099706744868
bt,200,macro avg,0.6341860131744198
bt,200,weighted avg,0.7037771173808067
bt,5000,neither,0.8989192625556262
bt,5000,oppose,0.7438423645320197
bt,5000,support,0.8304405874499332
bt,5000,accuracy,0.8570381231671554
bt,5000,macro avg,0.8244007381791931
bt,5000,weighted avg,0.8559425142384693
bt,500,neither,0.8022813688212928
bt,500,oppose,0.5
bt,500,support,0.7165354330708661
bt,500,accuracy,0.7353372434017595
bt,500,macro avg,0.672938933964053
bt,500,weighted avg,0.7319831943500735
eda,1000,neither,0.8322065150583897
eda,1000,oppose,0.5229885057471264
eda,1000,support,0.7436918990703851
eda,1000,accuracy,0.7683284457478006
eda,1000,macro avg,0.699628973291967
eda,1000,weighted avg,0.7600690714424627
eda,100,neither,0.725925925925926
eda,100,oppose,0.3492063492063492
eda,100,support,0.6219178082191781
eda,100,accuracy,0.6458944281524927
eda,100,macro avg,0.5656833611171511
eda,100,weighted avg,0.6391218223520477
eda,2000,neither,0.8653113087674714
eda,2000,oppose,0.6801007556675063
eda,2000,support,0.7793923381770145
eda,2000,accuracy,0.8145161290322581
eda,2000,macro avg,0.774934800870664
eda,2000,weighted avg,0.8128167349242759
eda,200,neither,0.7692307692307693
eda,200,oppose,0.3856749311294766
eda,200,support,0.6560424966799469
eda,200,accuracy,0.6869501466275659
eda,200,macro avg,0.6036493990133976
eda,200,weighted avg,0.6787930131771508
eda,5000,neither,0.8862647607209447
eda,5000,oppose,0.7131367292225201
eda,5000,support,0.8096514745308311
eda,5000,accuracy,0.841642228739003
eda,5000,macro avg,0.8030176548247653
eda,5000,weighted avg,0.8382392873082862
eda,500,neither,0.8089887640449438
eda,500,oppose,0.510752688172043
eda,500,support,0.7161803713527851
eda,500,accuracy,0.7426686217008798
eda,500,macro avg,0.6786406078565906
eda,500,weighted avg,0.7373140316636795
falcon3,1000,neither,0.8251231527093597
falcon3,1000,oppose,0.5520833333333334
falcon3,1000,support,0.7055555555555556
falcon3,1000,accuracy,0.7551319648093842
falcon3,1000,macro avg,0.6942540138660829
falcon3,1000,weighted avg,0.7497376634612453
falcon3,100,neither,0.7356608478802993
falcon3,100,oppose,0.3463687150837989
falcon3,100,support,0.6240208877284595
falcon3,100,accuracy,0.6532258064516129
falcon3,100,macro avg,0.568683483564186
falcon3,100,weighted avg,0.6447853726016114
falcon3,2000,neither,0.8639798488664987
falcon3,2000,oppose,0.645
falcon3,2000,support,0.7756756756756756
falcon3,2000,accuracy,0.8079178885630498
falcon3,2000,macro avg,0.7615518415140582
falcon3,2000,weighted avg,0.8056624623249308
falcon3,200,neither,0.6642174871418075
falcon3,200,oppose,0.3373493975903614
falcon3,200,support,0.6029411764705882
falcon3,200,accuracy,0.593108504398827
falcon3,200,macro avg,0.534836020400919
falcon3,200,weighted avg,0.597076767028083
falcon3,5000,neither,0.8802547770700637
falcon3,5000,oppose,0.7555555555555555
falcon3,5000,support,0.8021248339973439
falcon3,5000,accuracy,0.8401759530791789
falcon3,5000,macro avg,0.8126450555409876
falcon3,5000,weighted avg,0.8391862534938065
falcon3,500,neither,0.7914723517654897
falcon3,500,oppose,0.48517520215633425
falcon3,500,support,0.7102803738317757
falcon3,500,accuracy,0.7243401759530792
falcon3,500,macro avg,0.6623093092511999
falcon3,500,weighted avg,0.7218471914845628
flan_t5,1000,neither,0.8302114803625378
flan_t5,1000,oppose,0.5402298850574713
flan_t5,1000,support,0.7337931034482759
flan_t5,1000,accuracy,0.7675953079178885
flan_t5,1000,macro avg,0.7014114896227616
flan_t5,1000,weighted avg,0.758776548591684
flan_t5,100,neither,0.682261208576998
flan_t5,100,oppose,0.37659033078880405
flan_t5,100,support,0.5603015075376885
flan_t5,100,accuracy,0.6026392961876833
flan_t5,100,macro avg,0.5397176823011635
flan_t5,100,weighted avg,0.6012245315388174
flan_t5,2000,neither,0.8624440179142674
flan_t5,2000,oppose,0.675
flan_t5,2000,support,0.7816993464052288
flan_t5,2000,accuracy,0.8123167155425219
flan_t5,2000,macro avg,0.7730477881064988
flan_t5,2000,weighted avg,0.811069344705215
flan_t5,200,neither,0.7532314923619271
flan_t5,200,oppose,0.33827893175074186
flan_t5,200,support,0.5950653120464441
flan_t5,200,accuracy,0.6620234604105572
flan_t5,200,macro avg,0.5621919120530378
flan_t5,200,weighted avg,0.645310589115162
flan_t5,5000,neither,0.8837803320561941
flan_t5,5000,oppose,0.7168831168831169
flan_t5,5000,support,0.8082368082368082
flan_t5,5000,accuracy,0.8387096774193549
flan_t5,5000,macro avg,0.8029667523920397
flan_t5,5000,weighted avg,0.8370069615089334
flan_t5,500,neither,0.8047197640117995
flan_t5,500,oppose,0.41358024691358025
flan_t5,500,support,0.6685472496473907
flan_t5,500,accuracy,0.7228739002932552
flan_t5,500,macro avg,0.6289490868575901
flan_t5,500,weighted avg,0.7066380649012958
gpt3,1000,neither,0.8481091134531928
gpt3,1000,oppose,0.6096256684491979
gpt3,1000,support,0.7206477732793523
gpt3,1000,accuracy,0.780791788856305
gpt3,1000,macro avg,0.7261275183939143
gpt3,1000,weighted avg,0.7757651453243367
gpt3,100,neither,0.7401484865790977
gpt3,100,oppose,0.3850267379679144
gpt3,100,support,0.5439469320066335
gpt3,100,accuracy,0.6480938416422287
gpt3,100,macro avg,0.5563740521845485
gpt3,100,weighted avg,0.6306155523990942
gpt3,2000,neither,0.8773281952472703
gpt3,2000,oppose,0.6518105849582173
gpt3,2000,support,0.7758620689655172
gpt3,2000,accuracy,0.8174486803519062
gpt3,2000,macro avg,0.7683336163903349
gpt3,2000,weighted avg,0.814298780614867
gpt3,200,neither,0.7824019024970273
gpt3,200,oppose,0.37423312883435583
gpt3,200,support,0.6416666666666667
gpt3,200,accuracy,0.6964809384164223
gpt3,200,macro avg,0.5994338993326833
gpt3,200,weighted avg,0.680435501678461
gpt3,5000,neither,0.8914141414141414
gpt3,5000,oppose,0.7239583333333334
gpt3,5000,support,0.8026315789473685
gpt3,5000,accuracy,0.843108504398827
gpt3,5000,macro avg,0.8060013512316145
gpt3,5000,weighted avg,0.8408187641190419
gpt3,500,neither,0.8344615384615385
gpt3,500,oppose,0.5144508670520231
gpt3,500,support,0.6895640686922061
gpt3,500,accuracy,0.7536656891495601
gpt3,500,macro avg,0.6794921580685892
gpt3,500,weighted avg,0.7447637778205033
gpt4,1000,neither,0.8461538461538461
gpt4,1000,oppose,0.6401985111662531
gpt4,1000,support,0.7550744248985115
gpt4,1000,accuracy,0.7910557184750733
gpt4,1000,macro avg,0.7471422607395369
gpt4,1000,weighted avg,0.7890392663439317
gpt4,100,neither,0.7144808743169399
gpt4,100,oppose,0.4028436018957346
gpt4,100,support,0.6413301662707839
gpt4,100,accuracy,0.6436950146627566
gpt4,100,macro avg,0.5862182141611528
gpt4,100,weighted avg,0.6463110977323498
gpt4,2000,neither,0.8739708676377455
gpt4,2000,oppose,0.7090464547677262
gpt4,2000,support,0.7918918918918919
gpt4,2000,accuracy,0.8269794721407625
gpt4,2000,macro avg,0.7916364047657879
gpt4,2000,weighted avg,0.8256536509668382
gpt4,200,neither,0.7853598014888338
gpt4,200,oppose,0.41823056300268097
gpt4,200,support,0.6890982503364738
gpt4,200,accuracy,0.7089442815249267
gpt4,200,macro avg,0.6308962049426629
gpt4,200,weighted avg,0.7022046850674419
gpt4,5000,neither,0.8836915297092288
gpt4,5000,oppose,0.7519181585677749
gpt4,5000,support,0.8052980132450331
gpt4,5000,accuracy,0.843108504398827
gpt4,5000,macro avg,0.8136359005073457
gpt4,5000,weighted avg,0.8414698544627937
gpt4,500,neither,0.8284313725490197
gpt4,500,oppose,0.5393258426966292
gpt4,500,support,0.7297297297297297
gpt4,500,accuracy,0.7639296187683284
gpt4,500,macro avg,0.6991623149917929
gpt4,500,weighted avg,0.7564855641218027
gpt4o_mini,1000,neither,0.8439024390243902
gpt4o_mini,1000,oppose,0.5519287833827893
gpt4o_mini,1000,support,0.758988015978695
gpt4o_mini,1000,accuracy,0.7844574780058651
gpt4o_mini,1000,macro avg,0.7182730794619582
gpt4o_mini,1000,weighted avg,0.7754108164099872
gpt4o_mini,100,neither,0.6783075889858966
gpt4o_mini,100,oppose,0.3674540682414698
gpt4o_mini,100,support,0.578088578088578
gpt4o_mini,100,accuracy,0.6033724340175953
gpt4o_mini,100,macro avg,0.5412834117719815
gpt4o_mini,100,weighted avg,0.6026170820135297
gpt4o_mini,2000,neither,0.8718282368249838
gpt4o_mini,2000,oppose,0.6683046683046683
gpt4o_mini,2000,support,0.7857142857142857
gpt4o_mini,2000,accuracy,0.8167155425219942
gpt4o_mini,2000,macro avg,0.7752823969479792
gpt4o_mini,2000,weighted avg,0.8164860275655671
gpt4o_mini,200,neither,0.7681331747919143
gpt4o_mini,200,oppose,0.3522727272727273
gpt4o_mini,200,support,0.622478386167147
gpt4o_mini,200,accuracy,0.6774193548387096
gpt4o_mini,200,macro avg,0.5809614294105961
gpt4o_mini,200,weighted avg,0.6636052666507659
gpt4o_mini,5000,neither,0.8950777202072538
gpt4o_mini,5000,oppose,0.7506172839506173
gpt4o_mini,5000,support,0.8241335044929397
gpt4o_mini,5000,accuracy,0.8533724340175953
gpt4o_mini,5000,macro avg,0.8232761695502703
gpt4o_mini,5000,weighted avg,0.8530239857560872
gpt4o_mini,500,neither,0.8062764031382016
gpt4o_mini,500,oppose,0.4783861671469741
gpt4o_mini,500,support,0.7071823204419889
gpt4o_mini,500,accuracy,0.7382697947214076
gpt4o_mini,500,macro avg,0.6639482969090549
gpt4o_mini,500,weighted avg,0.7283054420500658
llama,1000,neither,0.8571428571428571
llama,1000,oppose,0.6307692307692307
llama,1000,support,0.762778505897772
llama,1000,accuracy,0.7983870967741935
llama,1000,macro avg,0.75023019793662
llama,1000,weighted avg,0.795987439609813
llama,100,neither,0.7649448636099826
llama,100,oppose,0.39325842696629215
llama,100,support,0.6101694915254238
llama,100,accuracy,0.6796187683284457
llama,100,macro avg,0.5894575940338994
llama,100,weighted avg,0.6645788100363442
llama,2000,neither,0.8881909547738693
